,index,sentence,old_model_label,pred_label
46,46, usairways americanair you should partner a different hotel in phl the clarion is proving to be very difficult amp not customer friendly,0,0.0
47,47, americanair after losing my bags for 4 days amp charging me 475 to arrange pick up in argentina claiming tollfree won reimburse me help ,0,0.0
48,48, americanair absolutely worse cust svc ever experienced in 25 yrs of flying supvrs at iah extremely rude poorservice travel,0,1.0
49,49, united paid for economy plus and you put me in the last boarding group so have to gate check my bags too virginamerica knows better ,0,0.0
50,50, usairways thank you for blowing my vacation couldn get me anywhere today to make my reservation and also lost 2 bags of mine ,0,1.0
51,51, jetblue any ems window seats on 1099 tomorrow ,1,0.0
52,52, united handed slip of paper amp said to call 1800 have called 2x day trying to get it sent still layover airport have that ref tho ,0,0.0
53,53, united once he found out we had problem he avoided me like the plague was told we can find supervisor ,0,0.0
54,54, americanair this has happens so many times it just upsetting to see how poorly an airline treats their customers,0,0.0
55,55, virginamerica it just bug report guys,1,0.0
56,56, americanair why have been on hold for almost 3 hours this is ridiculous,0,0.0
57,57,c mon this is worse than jetbae rt jetblue our fleet on fleek https co yzxfe7au22,0,1.0
58,58, usairways bos gt dca delayed again this needs to stop will be filing complaints with the faa and consumer affairs,0,0.0
59,59, usairways 502 phx im still on the plane waiting and waiting,0,0.0
60,60, usairways what is your policy regarding large size passengers who cannot fit into single coach class seat ,1,0.0
61,61, usairways suppose need to tweet everyone how horrible your airline is for you to take notice let me try that route ,0,0.0
62,62, jetblue heading to buffalo trading the cold in boston for colder in buffalo maybe the caribbean next time ,2,0.0
63,63, united gj flight 1101 didn have wifi even though it was promised to by your ground crew anotherdisappointment,0,0.0
64,64, united flight was cancelled flightled due to mechanical issues but when ask for cab fare they say it was weather and can help me,0,2.0
65,65,thanks hope don look like complainer ve written of good experiences you in the past and am making do in terminal 5 jetblue,2,2.0
66,66, united it was such lovely part of this long day attendants on ua5168 most ua795 were beyond exceptional today givethoseladiesraise,2,2.0
67,67, americanair what the best way to check on any delays or cancelled flightlations for my flight out of dfw on tuesday ,1,0.0
68,68, southwestair why can you help me after you made mistake and dropped my early bird check in on your end where is the luv ,0,1.0
69,69, americanair purchased main cabin xt for 1571aus flight was cancelled flightled and was rescheduled on 1600 with regular seats credit ,0,0.0
70,70, united so the last seg of my flight from denver den to hayden steamboat hdn for 8am got cancelled flightled and need help finding my luggage,0,0.0
71,71, usairways stuck on tarmac for hour an half and told longer to go and no hotels available when we land in phoenix unacceptable unhappy,0,0.0
72,72, united appreciate the early arrival of ua1002 but any chance ord will ever bring the bags out ,0,0.0
73,73, united airline trouble this winter amp not getting good customer service contact http co aqjn4hwnac we negotiate resolutions for you ,1,0.0
74,74, jetblue sure thing ,1,0.0
75,75, southwestair can doesn it seem fair that if our bags need to fit under our seats we should need to fit in them ,0,0.0
76,76, jetblue ceo battles to appease passengers and wall street waterbury republican american http co imvmpnqxai,1,0.0
77,77, americanair having trouble flight booking problems seat on us84 11 march operated by aa neither airline website will allow seat selection ,0,0.0
78,78, united in ord hotel issued to my 4yr old tickets needed fixing again another hour and 5 agents l8r nightmare still not over,0,0.0
79,79, usairways houston hub aa employee the bag is not here it made it to pa before me oops not your problem http co uld0hwfkfo,0,1.0
80,80, jetblue jeff_hofmann denisejtaylor laurieameacham good one and indeed it jetblue finest day in history ,2,0.0
81,81, usairways dealing fam emergency was told was rebooked this am to aa flight 4297 out of ord and now it not in system need help asap ,0,0.0
82,82, usairways usairwayscenter my lost bag lands in hartford at 639p tonight will it be delivered to danbury ct tonight ,0,0.0
83,83, americanair yeah buy me delta plane ticket from san diego to detroit so can fly one of their planes home tomorrow,0,0.0
84,84, americanair still waiting news about my bags 48hrs already happened and this company don give to the passengers any certain information,0,0.0
85,85, united sent the message let me know asap ,1,1.0
86,86, jetblue is the trueblue site broken at the moment ,1,1.0
87,87, americanair thanks both airlines said that it is located at aa detroit also was informed that it flew with aa which shouldn matter ,2,1.0
88,88, southwestair thinks that 100 voucher makes up for spending 4 hrs on plane and landing at the same airport we took off from really ,0,0.0
89,89, southwestair fortunemagazine always tell everyone to fly southwest congratulations ,2,2.0
90,90, americanair derekc21 so what would be file number that works needs to be 10 characters email me derek austin century21 ca easier,1,0.0
91,91, americanair was rebooked on flight that was too late flight for my connection ,0,1.0
92,92, americanair that not the point say its 1300 at the counter when clearly see 500 on your site aa agent was loss 4 words too,0,0.0
93,93, usairways haven eaten all day either so lemme get that cc so can buy burger across from the terminal dobetter usairwayssuck,0,0.0
94,94, usairways flight 1783 clt to bos,1,2.0
95,95, usairways really feel like your company needs evaluate their policies amp realize that transfers should be possible for tickets,0,1.0
96,96, southwestair karajusto swa is willing to follow up finally ,1,1.0
97,97, americanair reflight booking problems for the following day is unacceptable dming you that and our phone number ,0,1.0
98,98, usairways we got 1 drink then a sat in jump seat doing crosswords glasses picked up at landing just very lazy service 4 first class ,0,0.0
99,99, americanair crew did the best they could but it was out of their control you only get one chance of honeymoon amp you failed miserably,0,0.0
100,100, usairways the flights weren from this morning it was 4 flights 2 on thursday and 2 on monday which turned into tuesday,0,0.0
101,101, americanair thanks are they really open 3 30 am 7 pm every day any way to check they are open before going all the way there thanks ,2,2.0
102,102, usairways and would have been willing to give him the benefit of the doubt and say we misunderstood each other until he went on a,1,0.0
103,103, united this link in your tweet goes to someone internal email gt http co zksx79itdn probably one of your 3rd party it contracts,1,0.0
104,104, americanair ve been calling you for 3 straight days and no one picks up sure there are storms but there are also customers holler ,0,1.0
105,105, southwestair look forward to those direct flights to california to see my family more often thank you michaelbcoleman byebyeusairline,2,2.0
106,106, usairways since when does maintenance problem and missing flight crew equal delayed due to weather m confused since we had sunny skies,0,0.0
107,107, americanair we did check before going to de airport and everything was fine fail,0,0.0
108,108, southwestair yes how about destinationdragons in san diego ,1,0.0
109,109, united yes paper voucher that got on january 26th 2015,1,0.0
110,110, usairways my flight has been cancelled flightled on hold for 2 hrs to reschedule need help now taking way too long http co nehnsdckty,0,0.0
111,111, americanair thanks,2,0.0
112,112, united our flight attendant superben was super helpful in finding bag we left on flight today excellent customer service name fits ,2,1.0
113,113, united kind of unnerving to watch the guy deicing your plane text on his phone the whole time http co qdxft9qqt9,0,0.0
114,114, usairways need help in air on 717 to clt from phl conf d1mqf5 need confirmed on 1776 to bna at 10 30 been bumped all day need home,0,0.0
115,115, jetblue m all set about to fly not bad for first date with giant metal bird machine she even brought snacks ,2,1.0
116,116, jetblue just wanted to say flight attendant fitz was the best tonight on flight 1326 bwi bos great guy and made the flight fantastic ,2,1.0
117,117, americanair is there not an email address can send my issue to you guys screwed up and rebooked my flight to the wrong day please help,0,1.0
118,118, southwestair beautiful day in seattle http co iqu0ppvq2s,2,2.0
119,119, united rarely ceases to amaze for the worse hope this is the last time have to fly with you ,0,0.0
120,120, usairways americanair 9 empty seats open in 1st on aa1061 no upgrades for u gold member would love consistent policies ,0,0.0
121,121, usairways just heard monterey airport was closed due to thick fog any updates,1,0.0
122,122, usairways can wait for the trip thanks for getting me there ,2,0.0
123,123, americanair thanks she did her best staying the night in dallas new trial to detroit via atlanta tomorrow assuming no cancelled flightlations ,0,1.0
124,124, jetblue last sleep in cali back to jfk tomorrow night looking forward to an another amazing flight with you all ,2,2.0
125,125, usairways yeah know that but now ll have to spend almost 500 dollars more on my ticket since the price has gone up over the week,0,2.0
126,126, united will the kudos to capt herman be relayed to his chief pilot or should be emailing someone ,2,0.0
127,127, southwestair greetings,1,0.0
128,128, jetblue if my flight was delayed can show up at the airport with the appropriate amount of time for the delay or do have to go on time ,0,0.0
129,129, united ua1565 iah gt sjo is delayed by like 1 5 hours crazy ,0,1.0
130,130, united mechanical delay occurred in houston earlier today re their flight to ord,0,1.0
131,131, usairways you told us last night that there was ground stop at hare four hours after obama landed stop blaming someone else,0,0.0
132,132, usairways americanair love you guys amp m gonna let you finish but ve been on hold for 1 hour trying to book flight my voucher ,0,0.0
133,133, americanair remained on hold for 2 hrs to resolve my flight schedule amp your system hung up on me unhappycustomer,0,0.0
134,134, usairways hopefully your crappy service improves as become americanairlines angryairtravel winterstorm,0,2.0
135,135, jetblue other jfk to boston flights went off with some delay but not this epicfail,0,0.0
136,136, usairways how about drink voucher for the next flight winkwink,2,0.0
137,137, southwestair what does woman got to do to get chance of lifetime destinationdragons imaginedragons slaycancerwithdragons,1,0.0
138,138, virginamerica you down with rnp yeah you know me ,1,2.0
139,139, southwestair what is the best credit card to use open to get miles with all ,1,2.0
140,140, americanair expedia are killing me over 3 hours to get no human to help me ,0,2.0
141,141, americanair did,1,0.0
142,142, americanair try this dpdfpp,1,0.0
143,143, americanair you could train your flight attendants to have some manners and decency,0,1.0
144,144, americanair and btwn gate a8 amp a15 lost diamond earring dayjustgotworse pls have maintenance look for it http co uiesr3ghho,1,0.0
145,145, usairways thx for delayed checkin on noon flt to mia then forcing me to take late flightr flts which were delayed cincy to miami in 13 hrs fast,0,0.0
146,146, virginamerica hahaha virginamerica you guys are amazing love you guys ,2,0.0
147,147, americanair sorry what equipment have the passengers been allowed to return to the plane ,1,0.0
148,148, usairways my brother amp his family stranded in clt tonight bc gate e36 agent wouldn hold plane for two minutes now driving in bad weather,0,2.0
149,149, jetblue did you discontinue nonstop service from sjc to bos can find 471 or 472 anywhere,0,1.0
150,150, virginamerica add dtw and m sold ,1,2.0
151,151, united that not good enough for all of us affected by the awful organization and timing and have now been set back,0,1.0
152,152, usairways please staff your flights approproately our entire flight is delayed because fa isnt here shouldnt have left delta ,0,0.0
153,153, virginamerica to jump into the dallas austin market http co szr0pioa21,1,2.0
154,154, united lax29108m make it happen please else on cruise with no luggage tomorrow,0,2.0
155,155, americanair finally got call from aa but it was an automated voice that hung up on me called back amp it says it ll be 2 more hours ,0,0.0
156,156, jetblue drwinston001 think we ll need selfie as proof ,1,0.0
157,157, united no don but m sure united have my info on its system ,1,1.0
158,158, united noooooooooooooooooooooope ,0,0.0
159,159, americanair didn miss my flight american airlines gave my ticket as well as 6 other passengers tickets away not my fault ,0,0.0
160,160, united question was given food vouchers but can use on plane how come,0,0.0
161,161, americanair you cxl both my flights to from dfw to cll o notice then treat me like trash on the phone and offer no compensation wth ,0,2.0
162,162, jetblue here part was at bag drop inserted my jetblue cc didn print pass agent standing in front of me refused to print my pass,0,1.0
163,163, united 44stocker my wife sarah stocker did also called but could not connect me to customer service,0,0.0
164,164, americanair is there another line can call when am on hold for 5 hours also how can get compensated for this loss of time and money ,0,0.0
165,165, united how come it cheaper to fly to bkk than nrt even though to get to bkk you take an extra flight from nrt ,1,2.0
166,166, united followed you and dm you,1,0.0
167,167, united wasting time at baggage claim thanks to your dfw ground crew who checked my bag in without actually checking for space frustrated,0,1.0
168,168, jetblue does not fit in 140,0,1.0
169,169, usairways flight 4454 aircraft at gate but no crew will be 2 hours late flight to destination come on ,0,2.0
170,170, united really fill out form about my flight experience sent an email to the 1k email address ,0,2.0
171,171, americanair will and will share with many many others filmcrew media wsj nytimes latimes chicagotribune,1,0.0
172,172, jetblue don believe so that not what the team has told us ,0,0.0
173,173, americanair jaynegelman how about more blacklist too ,1,0.0
174,174, usairways 4473 she just called to say it a runway clearing problem of all things ,1,0.0
175,175, usairways surprisingly quick response time by you and them thanks ,2,1.0
176,176, southwestair supposed to take off almost 2 hours ago vacationfail frozenwater gettingimpatient theycouldatleastofferfreebooze,0,0.0
177,177, united yes bags came 1 hr after arrived at baggage claim awful experience on the ground at bhm,0,0.0
178,178, united flight delayed by 24 hours lost my wallet have no money to eat or sleep yet your representatives will not help unitedsucks,0,0.0
179,179, united flight 512 had sime of the rudest flight attendants was run over by the drink card and had flashlight dropped on me noapology,0,0.0
180,180, united hard to believe since your staff sfo checked them under someone by the name of ritacomo who flew to ewr the same day ,0,2.0
181,181,yasssss da fuccc rt jetblue our fleet on fleek http co oaj5mnucha,1,0.0
182,182, usairways thanks for cancelled flighting flight 5097 today now missing required training not happy customer ,0,0.0
183,183, jetblue everytime come back to boston it a minimum 45 min wait for bags earlier it was almost an hour why is it only boston jetblue ,0,2.0
184,184, southwestair were you handing out tickets while was sleep ,0,0.0
185,185, americanair guarantee no retribution if so d be glad to share ,1,1.0
186,186, usairways why haven you issued travel advisory for charlotte wednesday night and thursday 4 6 inches of snow ,0,1.0
187,187, usairways stuck on the runway for 2 hrs 10 min due to weather in phl nowhere can find accurate info on 558 to bos,0,1.0
188,188, jetblue delay perfect time to learn swift programming with teamtreehouse,0,0.0
189,189, usairways paid for my ticket on paypal on the 13th and it still says pending is that normal just want the money out of my account ,0,0.0
190,190, united delayed going home again getting really tired of delays ,0,1.0
191,191, southwestair imaginedragons any info on destinationdragons me amp sammi_jon3s need to know ,1,0.0
192,192, southwestair not yet supposed to get it early evening tonight don want to have to go to the store and buy new necessities ,0,1.0
193,193, southwestair any chance there a few seats open from den to dal this afternoon ,1,0.0
194,194, americanair but not sufficiently sorry to actually do anything about it guess your systems are presumably beyond reproach or reform ,0,1.0
195,195, jetblue thanks for the quick reply just wanted to make sure it wasn just my account ,2,0.0
196,196, southwestair now we have to wait and wait to get it straight fly you for personal and business but now not so sure bebetter,0,0.0
197,197, virginamerica you have amazing staff amp super helpful as just ran the waltdisneyworld princesshalf they have spoiled me with comfort ,2,1.0
198,198, united thanks for nothing next time ll bring whole extra suitcase for my 1 extra pound that makes sense right ,0,2.0
199,199, southwestair thank you for finally making your boarding passes work with passbook,2,2.0
200,200, americanair school trip of 38 including myself had to sleep over in the airport and are all on different standby flights this is not good,0,2.0
201,201, united landed at 9 40pm and have been standing waiting for bags that were loaded plane side why isn the crew here tiredcustomer,0,1.0
202,202, usairways all these planes sitting here and no one going home usairwaysfail http co jn3v3k3qgv,0,0.0
203,203, united hi there bag id is ua6016053916 can you update me and explain why is occurred when arrived 4 hours before flight ,0,0.0
204,204, united have you read your own same day travel change policy ,0,1.0
205,205, southwestair just had great experience with your customer service team thank you luvsw list,2,1.0
206,206, jetblue the big board says we aren leaving until after 8 30 ,0,0.0
207,207, usairways that you would let us just switch to different set of flights so we could spend time with the family after he passes away ,0,2.0
208,208, americanair why can you handle your customers needs cancelled flightled flight 800 number leads to quick goodbye very sad ,0,0.0
209,209, southwestair at troubadour with imaginedragons destinationdragons http co rklqxxawhc,1,0.0
210,210, united next flight don think ll be spending anymore money with you guys ever it was that bad ,0,1.0
211,211, americanair spent 8 for the choppiest feed of whiplash ever americanairlinesfail iwantmymoneyback,0,0.0
212,212, southwestair my flight to kc has been cancelled flighted and the next available isn till tuesday what am supposed to do for 3 nights ,0,0.0
213,213, usairways pilot pleads to let boarding begin for full flight 1937 while waiting for 4th flight attendant denied by mission control grrrr,0,0.0
214,214, united ua5396 can wait for me m on the ground trying to get to the gate after we were moved to this is crap ,0,0.0
215,215, southwestair hooking us up and getting us to tampa after our flight was cancelled flightled this morning grateful businesstrip,0,0.0
216,216, usairways if have dividend miles credit card amp used it to book my flight is one bag free ,1,0.0
217,217, southwestair loses baggage day ago and still has no idea or interest in finding it all items for new job in that bag unacceptable ,0,0.0
218,218, usairways my bag is still lost and can not get anyone on the phone to assist me and the tracking updates have stopped,0,0.0
219,219, united too much info to share via tweet please send me your name and contact info happy to supply you with images and cs rep names ,0,0.0
220,220, southwestair 3 flights yesterday no treats but nuts and pretzels also no origami in the magazine new policies oldpolicieswaybetter,0,1.0
221,221, southwestair has beautiful fleet what perfect evening to fly http co xmz3tf9ix8,2,2.0
222,222, jetblue m dissapointed in the way paseengers on flight 0510 in santo domingo have been treated 9hrs to board the plane and no info given,0,0.0
223,223, usairways why cant sapphire members reach anyone on the phone ,0,2.0
224,224, united beyond frustrated sked change no seats earlier departure and double layover of course only seats are cust svc no help,0,0.0
225,225, southwestair you guys need better communication to your customers this is rude and unprofessional ,0,0.0
226,226, usairways took me 4 hours to book flights yesterday due to system errors between you and americanair paid 320 extra due to time lapse,0,0.0
227,227, usairways already spent 60 mins today handling this for my minor child shame on you for treating 15 year old girl like this ,0,0.0
228,228, americanair have emailed several times hand wrote letter went to airport called please fix this or abc7newsbayarea please help ,0,0.0
229,229, usairways why is it impossible to change buy preferred seats via your app ,0,0.0
230,230, united worked out after all thanks for your immediate reply ,2,0.0
231,231, southwestair when does pv get approved am ready to go ,1,2.0
232,232, united any news about the departure of the flight ua51 ,1,0.0
233,233, jetblue valentinesday email was on point amp so clever thanks for being amazing jetblue loveisintheair http co docmvotwti,2,2.0
234,234, southwestair continues to prove to be the best airlines ,1,0.0
235,235, southwestair very frustrated for the loooooong wait time to speak to live person cannot get boarding pass for flight tomorrow ,0,1.0
236,236, usairways will you pick up your phone then ,1,0.0
237,237, southwestair thnx hopefully it just on the nxt flight up ve got 3 shows this wknd worst case ll just turn my sweatshirt inside out,0,0.0
238,238, united dm child birthdate and full name ,1,1.0
239,239, united itsaaronchriz sorry to hear about your flight do you need help reflight booking problems ,1,2.0
240,240, americanair is that something the crew on the current leg can request of the gate team on the next leg ,0,0.0
241,241, united there is only one club at lax in terminal 7 across from gate 71,1,0.0
242,242, americanair lovely flight back from mia to lhr great crew thanks ,2,0.0
243,243, southwestair cancelled flighting flights 45 minutes before takeoff amp sitting for 45 min on the runway of the rescheduled flight badservice,0,1.0
244,244, jetblue where did my travel bank credit go can call you right now ,0,0.0
245,245, united airlines on flight ua 1669 need to make ua 3781 can hold the plane for us ,1,1.0
246,246, united we were supposed to board at 605 they just brought the plane from the hanger wtf did they not know there was flight 1153 lax ewr,0,1.0
247,247, jetblue flight from bos rsw tomorrow all need is my wife 3yr old to sit together but no option when checking in ,0,0.0
248,248, usairways empty 1st class chairman can move up due 2 silly award travel rule trumping common sense customer service fail again ,0,2.0
249,249, americanair followed tried to usairways record locator number gave me an error code,0,0.0
250,250, united missed it incoming on time then sat for 30 then no jetbridge driver missed 45min connection from an on time flight ,0,0.0
251,251, americanair and feel free to email me mikehertz7 gmail com don worry we re not going anywhere but this damn tarmac for bit ,0,1.0
252,252, united my guess flight is going to be cancelled flightled because there are 16 empty seats and those who confirmed are not important frustrated,0,1.0
253,253, americanair really hope it departs they said is because the catering service wasnt available but we can see it next to plane doing nthin,0,0.0
254,254, united deceptive marketing practices promised me if booked flights would retain my status now they are not granting neverflyunited,0,0.0
255,255, united your system is down and after being on hold for over 20 mins mia tells me she is going to charge flight booking problems fee customer service ,0,0.0
256,256, southwestair jlittle100 double up with this comment phl to anywhere south florida is gone gone gone hello us air,0,0.0
257,257, americanair they sent her letter and said they would talk to the stewardess about serving drunks drinks how does that help,0,0.0
258,258, united am so happy found my phone because this is easily the worst system have ever heard of,0,2.0
259,259, southwestair please get back with my about my airtran credit q4vnmb call and m being told that will but never get email call back,0,0.0
260,260, southwestair suggestion shades on the windows kciairport so travelers won have to watch ur luggage handlers throwing their bags around,0,0.0
261,261, americanair would you like any additional details of my issue airport flight agent name or are you happy this automated lip service ,0,0.0
262,262, southwestair using social business roadmap to develop intelligent path to embed social across enterprise ragandisney,1,0.0
263,263, southwestair lax is almost mess for some reason the express bag drop is slower than the full service line http co ory89eegek,0,2.0
264,264, united left headphones in 2a on ua4689 from yhz ewr it a long shot to see them again but worth tweet anyway ,1,0.0
265,265, jetblue well my paid tickets have no assigned seats at all so essentially won be on this flight unless pay more ,0,0.0
266,266, southwestair had to cancelled flight my flight because my cavalli calves was interfering with the onboard equipment ,0,1.0
267,267, americanair please find my bag in singapore for three days already without my bag last known destination lax tag 580815 please help ,0,1.0
268,268, virginamerica ladygaga carrieunderwood m lady gaga she is amazing ,2,0.0
269,269,the saga of the melissaafrancis bag delay united will there be reunion or will she be forced to go shopping stay tuned ,0,0.0
270,270, usairways at least they make you run so you want yo buy this fresh diet coke nice bizness plan its all about marketing right ,1,0.0
271,271, jetblue we re looking for our next flyingitforward flier from dc tell us where you fly amp why http co mcsi0dzpnz geekandahalf,1,1.0
272,272, usairways 3818 delayed blue skies all over whyisusairalwaysdelayed ,0,1.0
273,273, usairways so upset with customer service have simple question and the phone system has disconnected me all day today and yesterday ,0,0.0
274,274, southwestair doesn care nor does sna agent jacquie plitt rude gal bad attitude had 2 fly usairways 2 cabo thx http co vbuxfpckfa,0,0.0
275,275, usairways still just sitting here nobody has said anything what up ,1,0.0
276,276, jetblue rt wmcactionnews5 new airline expected to make its way to mem http co gbd5r1olsi,1,0.0
277,277, jetblue time to reevaluate my nyc carrier ,0,2.0
278,278, usairways my bags were supposed to be delivered to nyc last night missing since thurs but are not here can someone call me ,0,0.0
279,279, southwestair yep after two hours and thirty minutes,0,1.0
280,280, united such as deodorant shampoo toothpaste seems like that would be limited to 70oz correct ,0,0.0
281,281, jetblue thank you very very much ,2,0.0
282,282, americanair thank you for the update ,2,1.0
283,283, southwestair my wife and 9 month old might miss flight and next direct is 210 pm mother in law been on hold with customer support for 30,0,0.0
284,284, usairways glad to be home and that your great people got me home safely sad for others who didn get back bc of scheduling problems ,2,1.0
285,285, southwestair right but the point was that my kids don fly often but do bought four round trip tickets from dtw to phx so m ,0,0.0
286,286, jetblue can you tweet closepwcs to get the word out ,0,1.0
287,287, usairways cardholder is flying we both have us airways and advantage cards which is more frustrating ,0,0.0
288,288, ninadavuluri we think it a treat to have you onboard enjoy your flight ,2,1.0
289,289, americanair it not about the weather it about the fact that can get ahold of anyone to help but you can tweet me back ,0,0.0
290,290, southwestair first time flying with you you ve definitely won me over ,2,1.0
291,291, southwestair m so upset that my luggage was damaged and the rude employee at the laguardia airport didn help ,0,0.0
292,292, usairways now on hold for an hour so frustrating suspect you have more operators come in on days like this inclement weather ,0,2.0
293,293, usairways saddens me that my first tweet ever has to be complaint about customer service ,0,0.0
294,294, southwestair thankyou ,2,0.0
295,295, united you ve been officially displaced by deltaassist for better flight experience pleasant cabin crew and timeliness ua 1m switching ,0,0.0
296,296, united yes about an hour after landing ,1,2.0
297,297, americanair leave our luggage in the baggage claim without any previous information that not the deal http co otty5rymzd,0,1.0
298,298, united 2 2 instead had to wait on plane from ottawa that never came now m back home and have to try again tomorrow suitcase still lost,0,0.0
299,299, southwestair regret not flying you this morning virginamerica doesn support business travelers neverflyvirginforbusiness,0,0.0
300,300, southwestair awesome staff at the check in desk they had paper airplane race for sw gift card to keep ppl entertained during delays,2,0.0
301,301,i just need place to sleep when land without accommodations in pls americanair ,0,2.0
302,302, americanair we knew it was not going to leave but we had 6 hours waiting that was the hurry ,0,0.0
303,303, united stop pretending you care about the welfare of my daughter united airlines had the opportunity to help failed united airlines,0,1.0
304,304, usairways after 5 flight cancelled flightlations we finally get flight get to the gate on time amp you ve given our seats away seriously ,0,2.0
305,305, americanair you fucking suck,0,0.0
306,306, americanair the fact that that rule makes it poor customer service can cancelled flight change on southwestair with no penalty or hoops ,0,0.0
307,307, americanair understand that but 14 hours late flightr still haven heard word how can you plan your week with no zero information ,0,0.0
308,308, americanair you guys are the talk of the americans down here in ecuador read this https co 5on3klzvmt,1,0.0
309,309, americanair americanairlines bqonpa flight 1641 delayed from pos mia missed 2214 mia atl need seat on last flight to atl ,0,0.0
310,310, southwestair also gave up after 1 hr 32 minutes on hold maybe put few more people on it ,0,0.0
311,311, united what took me aback was the response by the flight attendant who put the responsibility squarely back on passenger shoulders ,0,1.0
312,312, united the engineer that designed the 787 door frame to extend half foot into the plane for seat 27a should be forced to always sit here,0,1.0
313,313, united fire yr rep who refused to put me on flight that had boarding pass and seat on full explanation and her name in complaint ,0,1.0
314,314, americanair now you change my gate and don tell me what the fuck is wrong with you people learn to do your fucken job,0,2.0
315,315, southwestair my sister and her family had to drive 1200 miles because you did not accommodate rebook in timely manner horrible,0,0.0
316,316, united sent,1,0.0
317,317, virginamerica need receipt for flight change can you send one ,1,0.0
318,318, southwestair longer flights with 300 series no wifi will be great when you retire them ,0,1.0
319,319, americanair you cancelled flight my flight and there no way to rebook on the website or app have to wait 35 minutes on hold fail cc delta,0,0.0
